hour,day_of_week,is_weekend,ping_avg_rtt_ms_lag_1,ping_avg_rtt_ms_lag_2,ping_avg_rtt_ms_lag_3,ping_avg_rtt_ms_lag_4,download_lag_1,upload_lag_1,jitter_lag_1,weather_code,target
2,5,1,24.72,26.54,45.34,26.48,194.44,38.29,4.1,0.0,24.78
2,5,1,30.6,24.72,26.54,45.34,338.71,42.79,4.57,0.0,23.86
2,5,1,24.78,30.6,24.72,26.54,291.88,39.0,4.78,0.0,23.82
2,5,1,23.86,24.78,30.6,24.72,209.63,14.6,3.45,0.0,36.4
3,5,1,23.82,23.86,24.78,30.6,310.97,38.63,2.63,0.0,24.38
3,5,1,36.4,23.82,23.86,24.78,184.53,35.58,4.96,0.0,26.02
3,5,1,24.38,36.4,23.82,23.86,266.34,31.48,3.98,0.0,27.4
3,5,1,26.02,24.38,36.4,23.82,264.92,10.35,4.8,0.0,25.12
4,5,1,27.4,26.02,24.38,36.4,115.96,47.98,5.41,0.0,26.52
4,5,1,25.12,27.4,26.02,24.38,145.88,30.2,3.73,0.0,24.66
4,5,1,26.52,25.12,27.4,26.02,229.95,32.97,4.73,0.0,26.28
4,5,1,24.66,26.52,25.12,27.4,220.39,40.18,2.63,0.0,48.42
5,5,1,26.28,24.66,26.52,25.12,286.6,24.045,3.63,0.0,28.26
5,5,1,48.42,26.28,24.66,26.52,58.43,7.91,18.47,0.0,32.06
5,5,1,28.26,48.42,26.28,24.66,127.99,50.46,4.61,0.0,27.18
5,5,1,32.06,28.26,48.42,26.28,238.28,30.19,8.51,0.0,25.46
6,5,1,27.18,32.06,28.26,48.42,267.71,28.18,3.92,0.0,31.9
6,5,1,25.46,27.18,32.06,28.26,112.72,25.89,4.45,0.0,27.48
6,5,1,31.9,25.46,27.18,32.06,312.62,28.16,5.73,0.0,29.68
6,5,1,27.48,31.9,25.46,27.18,339.07,43.46,5.57,0.0,27.42
7,5,1,29.68,27.48,31.9,25.46,321.4,6.67,4.59,0.0,28.84
7,5,1,27.42,29.68,27.48,31.9,194.78,38.49,3.92,0.0,34.16
7,5,1,28.84,27.42,29.68,27.48,159.67,16.68,6.33,0.0,26.48
7,5,1,34.16,28.84,27.42,29.68,197.88,41.82,7.41,0.0,33.8
8,5,1,26.48,34.16,28.84,27.42,305.98,35.32,4.04,0.0,28.02
8,5,1,33.8,26.48,34.16,28.84,199.96,27.53,4.53,0.0,32.02
8,5,1,28.02,33.8,26.48,34.16,292.77,36.9,5.04,0.0,30.3
8,5,1,32.02,28.02,33.8,26.48,285.94,36.48,4.86,0.0,30.34
9,5,1,30.3,32.02,28.02,33.8,95.38,29.88,4.98,0.0,33.34
9,5,1,30.34,30.3,32.02,28.02,301.21,44.49,5.86,0.0,31.12
9,5,1,33.34,30.34,30.3,32.02,307.52,20.8,7.22,0.0,28.22
9,5,1,31.12,33.34,30.34,30.3,88.22,14.91,7.22,0.0,28.54
10,5,1,28.22,31.12,33.34,30.34,216.24,21.19,4.8,0.0,26.22
10,5,1,28.54,28.22,31.12,33.34,206.35,34.07,6.2,0.0,31.76
10,5,1,26.22,28.54,28.22,31.12,374.58,33.94,3.49,0.0,72.0
10,5,1,31.76,26.22,28.54,28.22,288.15,48.08,7.53,0.0,25.32
11,5,1,72.0,31.76,26.22,28.54,256.63,29.85,8.61,0.0,30.64
11,5,1,25.32,72.0,31.76,26.22,157.05,28.81,3.73,0.0,25.5
11,5,1,30.64,25.32,72.0,31.76,121.23,43.52,5.12,0.0,24.22
11,5,1,25.5,30.64,25.32,72.0,110.35,20.56,3.92,0.0,24.14
12,5,1,24.22,25.5,30.64,25.32,209.25,17.55,3.37,0.0,33.38
12,5,1,24.14,24.22,25.5,30.64,361.7,49.87,3.31,0.0,28.72
